Country,scores,Edu,MPYears,Female,Minister,PartyLeader,Party,PovertyAgg,AgricultureAgg,EconomyAgg,EducationAgg,HealthAgg,InfrastructureAgg,SocialRightsAgg,PoliticalRightsAgg,ViolenceAgg,WaterAgg,WomenRightsAgg,Ruling,Matriloc,Matrilin,PoliticalJob,Year,CountryCorr,WomenRep,Polity,RulingParty,Proportional,Quota,GDPPC,Under5Mortality,Urban,GenderGap,WomenLabor,DistMag,ABWomen,PercRuling,PREG,ELF
Benin,-0.456829844,6,3,1,0,0,"Forces cauris pour un Bí©nin emergent, FCBE",0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,0.400189024,8,3,0,0,0,"Parti social-dí©mocrate, PSD, ADD",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,-0.567456748,7,3,0,0,1,"Union pour la dí©mocratie et la solidarití©, UDS, FCBE",0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,1.019795918,5,3,0,1,0,"Parti du renouveau dí©mocratique, PRD",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,0.286032181,8,11,0,0,1,"Parti de la rí©novation sociale, PRS",1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,1,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,-0.006060866,8,3,0,1,1,"Front daction pour le rí©nouveau et le dí©veloppement, FARD-ALAFIA",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,0.074398837,7,7,0,0,1,"Forces cauris pour un Bí©nin emergent, FCBE",0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,0.810995644,6,3,0,0,0,"Restaurer lespoir, RE",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,-0.450466836,8,3,0,1,1,"Coalition pour un Bí©nin emergent, CBE",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,-0.531952171,8,3,0,0,0,"Forces cauris pour un Bí©nin emergent, FCBE",0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,-0.377365911,8,15,1,1,1,"Reinaissance du Benin, RB, ADD",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,-0.37228047,3,7,0,0,1,"Parti des dí©mocrates unis pour la restauration de la relíÂve, DURR-Barka, FCBE",0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,-0.302940455,8,19,0,0,1,"Parti social-dí©mocrate, PSD, ADD",0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,-0.117086901,8,3,0,0,1,"Parti du renouveau dí©mocratique, PRD",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,0.100369176,3,3,0,0,1,"Reinaissance du Benin, RB, ADD",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,-0.554161599,6,3,0,0,1,"Force espoir, FE",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,0.480541537,4,3,1,0,1,"Parti du renouveau dí©mocratique, PRD",0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,-0.164408037,7,3,1,1,1,NA,0,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,-0.003556558,8,15,0,0,1,"Mouvement African pour la dí©mocratie et le progríÂs, MADEP, ADD",1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,0.771494069,6,7,0,0,1,"Alliance cauri pour le dí©veloppement, ACC, FCBE",0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,-0.09414018,8,3,0,0,1,"Forces cauris pour un Bí©nin emergent, FCBE",0,0,2,0,0,1,0,0,0,0,0,1,NA,NA,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,1.101512224,7,7,0,1,1,"Force espoir, FE",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,0.195448559,8,3,0,0,1,"Front daction pour le rí©nouveau et le dí©veloppement, FARD-ALAFIA",1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,0.272438133,6,3,0,0,1,"Forces cauris pour un Bí©nin emergent, FCBE",1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,0.074398837,9,7,0,1,1,"Forces cauris pour un Bí©nin emergent, FCBE",0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,1.019795918,7,3,0,1,0,"Parti du renouveau dí©mocratique, PRD",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,0.074398837,7,3,0,0,1,"Forces cauris pour un Bí©nin emergent, FCBE",0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,-0.053781134,8,15,0,1,1,"Parti du renouveau dí©mocratique, PRD",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,-0.302940455,8,3,0,0,0,"Parti du renouveau dí©mocratique, PRD",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,0.810995644,7,3,0,0,0,"Forces cauris pour un Bí©nin emergent, FCBE",0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,-0.48507352,3,8,0,0,0,"Union pour la relíÂve, UPR",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,1.101512224,5,3,0,0,1,"Parti du renouveau dí©mocratique, PRD",0,0,0,0,0,0,0,3,0,0,0,0,NA,NA,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,-0.479736144,3,3,0,0,1,"Reinaissance du Benin, RB, ADD",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
Benin,0.810995644,8,2,0,1,0,"Forces cauris pour un Bí©nin emergent, FCBE",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2010,0.054487602,8.4,7,0.4216867,3,0,618,116,41,0.56,72,3.46,78,0.42,0.3,0.62
